ts,week,score,phrase
2024-12-17 19:59:40,202451,2.0,"rumored update"
2024-12-17 19:59:40,202451,2.0,"something anyone"
2024-12-17 19:59:40,202451,2.0,"new pair"
2024-12-17 19:59:40,202451,2.0,"needed upgrade"
2024-12-17 19:59:40,202451,2.0,"whether"
2024-12-17 19:59:40,202451,2.0,"still 40"
2024-12-17 19:59:40,202451,2.0,"significant focus"
2024-12-17 19:59:40,202451,2.0,"apple devices"
2024-12-17 19:59:40,202451,2.0,"stock"
2024-12-17 19:59:40,202451,2.0,"price reflects"
2024-12-17 19:59:40,202451,2.0,"generous 20"
2024-12-17 19:59:40,202451,2.0,"offering"
2024-12-17 19:59:40,202451,2.0,"unique blend"
2024-12-17 19:59:40,202451,2.0,"smartphones seem"
2024-12-17 19:59:40,202451,2.0,"modern functionality"
2024-12-17 19:59:40,202451,2.0,"mini version"
2024-12-17 19:59:40,202451,2.0,"iphone 16"
2024-12-17 19:59:40,202451,2.0,"grow larger"
2024-12-17 19:59:40,202451,2.0,"charming nod"
2024-12-17 19:59:40,202451,2.0,"actual phone"
2024-12-17 19:59:40,202451,2.0,"offers"
2024-12-17 19:59:40,202451,2.0,"tech enthusiasts"
2024-12-17 19:59:40,202451,2.0,"standout offers"
2024-12-17 19:59:40,202451,2.0,"premium devices"
2024-12-17 19:59:40,202451,2.0,"owned brand"
2024-12-17 19:59:40,202451,2.0,"notch sound"
2024-12-17 19:59:40,202451,2.0,"track"
2024-12-17 19:59:40,202451,2.0,"looking"
2024-12-17 19:59:40,202451,2.0,"end"
2024-12-17 19:59:40,202451,2.0,"apple"
2024-12-17 19:59:40,202451,2.0,"currently available"
2024-12-17 19:59:40,202451,2.0,"50 coupon"
2024-12-17 19:59:40,202451,2.0,"256gb storage"
2024-12-17 19:59:40,202451,2.0,"perfect alternative"
2024-12-17 19:59:40,202451,2.0,"record low"
2024-12-17 19:59:40,202451,2.0,"premium features"
2024-12-17 19:59:40,202451,2.0,"popular device"
2024-12-17 19:59:40,202451,2.0,"major discounts"
2024-12-17 19:59:40,202451,2.0,"see"
2024-12-17 19:59:40,202451,2.0,"year deal"
2024-12-17 19:59:40,202451,2.0,"track everything"
2024-12-17 19:59:40,202451,2.0,"probably want"
2024-12-17 19:59:40,202451,2.0,"much easier"
2024-12-17 19:59:40,202451,2.0,"lowest price"
2024-12-17 19:59:40,202451,2.0,"apple watches"
